zeta psi sigma beta psi_prime sigma_prime beta_prime psi_prime2 beta_prime2 sigma_prime2 leftWidth rightWidth x y z xR yR zR xL yL zL xAbs yAbs zAbs xRAbs yRAbs zRAbs xLAbs yLAbs zLAbs kappa nu tau kappa_prime nu_prime tau_prime
0.000000 -1.530579 0.000000 0.000000 0.000808 0.000000 0.000000 -0.000000 0.000000 0.000000 8.084956 8.084956 0.060406 0.002733 0.000000 8.138825 0.327803 0.000000 -8.018012 -0.322338 0.000000 275372.562269 -4991722.926793 0.000000 275380.640688 -4991722.601722 0.000000 275364.483852 -4991723.251864 0.000000 0.000808 0.000000 0.000000 -0.000000 0.000000 0.000000
0.333298 -1.530310 0.000000 0.000000 0.000807 0.000000 0.000000 -0.000004 0.000000 0.000000 8.084862 8.084862 0.073852 -0.330294 0.000000 8.152088 -0.003053 0.000000 -8.004385 -0.657534 0.000000 275372.575715 -4991723.259820 0.000000 275380.653951 -4991722.932579 0.000000 275364.497479 -4991723.587060 0.000000 0.000807 0.000000 0.000000 -0.000004 0.000000 0.000000
0.666595 -1.530041 0.000000 0.000000 0.000804 0.000000 0.000000 -0.000014 0.000000 0.000000 8.084586 8.084586 0.087387 -0.663316 0.000000 8.165259 -0.333918 0.000000 -7.990485 -0.992715 0.000000 275372.589250 -4991723.592842 0.000000 275380.667122 -4991723.263443 0.000000 275364.511378 -4991723.922241 0.000000 0.000804 0.000000 0.000000 -0.000014 0.000000 0.000000
0.999893 -1.529774 0.000000 0.000000 0.000798 0.000000 0.000000 -0.000025 0.000000 0.000000 8.084141 8.084141 0.101011 -0.996335 0.000000 8.178351 -0.664799 0.000000 -7.976329 -1.327872 0.000000 275372.602874 -4991723.925862 0.000000 275380.680214 -4991723.594325 0.000000 275364.525534 -4991724.257398 0.000000 0.000798 0.000000 0.000000 -0.000025 0.000000 0.000000
1.333191 -1.529510 0.000000 0.000000 0.000787 0.000000 0.000000 -0.000036 0.000000 0.000000 8.083541 8.083541 0.114724 -1.329351 0.000000 8.191377 -0.995705 0.000000 -7.961928 -1.662997 0.000000 275372.616587 -4991724.258877 0.000000 275380.693240 -4991723.925231 0.000000 275364.539935 -4991724.592523 0.000000 0.000787 0.000000 0.000000 -0.000036 0.000000 0.000000
1.666488 -1.529250 0.000000 0.000000 0.000774 0.000000 0.000000 -0.000045 0.000000 0.000000 8.082796 8.082796 0.128524 -1.662363 0.000000 8.204345 -1.326647 0.000000 -7.947297 -1.998079 0.000000 275372.630387 -4991724.591888 0.000000 275380.706208 -4991724.256172 0.000000 275364.554566 -4991724.927605 0.000000 0.000774 0.000000 0.000000 -0.000045 0.000000 0.000000
1.999786 -1.528995 0.000000 0.000000 0.000757 0.000000 0.000000 -0.000053 0.000000 0.000000 8.081918 8.081918 0.142410 -1.995371 0.000000 8.217268 -1.657631 0.000000 -7.932447 -2.333111 0.000000 275372.644273 -4991724.924896 0.000000 275380.719131 -4991724.587156 0.000000 275364.569415 -4991725.262637 0.000000 0.000757 0.000000 0.000000 -0.000053 0.000000 0.000000
2.333083 -1.528745 0.000000 0.000000 0.000738 0.000000 0.000000 -0.000060 0.000000 0.000000 8.080916 8.080916 0.156380 -2.328376 0.000000 8.230152 -1.988665 0.000000 -7.917392 -2.668086 0.000000 275372.658243 -4991725.257901 0.000000 275380.732015 -4991724.918190 0.000000 275364.584471 -4991725.597612 0.000000 0.000738 0.000000 0.000000 -0.000060 0.000000 0.000000
2.666381 -1.528503 0.000000 0.000000 0.000717 0.000000 0.000000 -0.000066 0.000000 0.000000 8.079799 8.079799 0.170432 -2.661377 0.000000 8.243006 -2.319755 0.000000 -7.902142 -3.002999 0.000000 275372.672295 -4991725.590902 0.000000 275380.744869 -4991725.249280 0.000000 275364.599721 -4991725.932525 0.000000 0.000717 0.000000 0.000000 -0.000066 0.000000 0.000000
2.999679 -1.528267 0.000000 0.000000 0.000695 0.000000 0.000000 -0.000070 0.000000 0.000000 8.078577 8.078577 0.184563 -2.994375 0.000000 8.255835 -2.650905 0.000000 -7.886709 -3.337845 0.000000 275372.686426 -4991725.923900 0.000000 275380.757698 -4991725.580430 0.000000 275364.615155 -4991726.267370 0.000000 0.000695 0.000000 0.000000 -0.000070 0.000000 0.000000
3.332976 -1.528040 0.000000 0.000000 0.000671 0.000000 0.000000 -0.000073 0.000000 0.000000 8.077257 8.077257 0.198772 -3.327369 0.000000 8.268646 -2.982119 0.000000 -7.871103 -3.672620 0.000000 275372.700635 -4991726.256894 0.000000 275380.770509 -4991725.911644 0.000000 275364.630761 -4991726.602145 0.000000 0.000671 0.000000 0.000000 -0.000073 0.000000 0.000000
3.666274 -1.527820 0.000000 0.000000 0.000646 0.000000 0.000000 -0.000075 0.000000 0.000000 8.075846 8.075846 0.213054 -3.660361 0.000000 8.281444 -3.313399 0.000000 -7.855335 -4.007323 0.000000 275372.714918 -4991726.589886 0.000000 275380.783307 -4991726.242924 0.000000 275364.646529 -4991726.936848 0.000000 0.000646 0.000000 0.000000 -0.000075 0.000000 0.000000
3.999571 -1.527609 0.000000 0.000000 0.000621 0.000000 0.000000 -0.000076 0.000000 0.000000 8.074353 8.074353 0.227409 -3.993349 0.000000 8.294233 -3.644747 0.000000 -7.839415 -4.341951 0.000000 275372.729273 -4991726.922874 0.000000 275380.796097 -4991726.574273 0.000000 275364.662449 -4991727.271477 0.000000 0.000621 0.000000 0.000000 -0.000076 0.000000 0.000000
4.332869 -1.527406 0.000000 0.000000 0.000596 0.000000 0.000000 -0.000076 0.000000 0.000000 8.072783 8.072783 0.241833 -4.326334 0.000000 8.307017 -3.976164 0.000000 -7.823352 -4.676505 0.000000 275372.743697 -4991727.255859 0.000000 275380.808881 -4991726.905690 0.000000 275364.678512 -4991727.606031 0.000000 0.000596 0.000000 0.000000 -0.000076 0.000000 0.000000
4.666167 -1.527212 0.000000 0.000000 0.000571 0.000000 0.000000 -0.000076 0.000000 0.000000 8.071142 8.071142 0.256322 -4.659317 0.000000 8.319800 -4.307651 0.000000 -7.807155 -5.010983 0.000000 275372.758186 -4991727.588842 0.000000 275380.821664 -4991727.237177 0.000000 275364.694708 -4991727.940509 0.000000 0.000571 0.000000 0.000000 -0.000076 0.000000 0.000000
4.999464 -1.527026 0.000000 0.000000 0.000545 0.000000 0.000000 -0.000075 0.000000 0.000000 8.069437 8.069437 0.270875 -4.992297 0.000000 8.332584 -4.639205 0.000000 -7.790833 -5.345388 0.000000 275372.772739 -4991727.921823 0.000000 275380.834448 -4991727.568731 0.000000 275364.711030 -4991728.274914 0.000000 0.000545 0.000000 0.000000 -0.000075 0.000000 0.000000
5.332762 -1.526848 0.000000 0.000000 0.000521 0.000000 0.000000 -0.000074 0.000000 0.000000 8.067673 8.067673 0.285489 -5.325274 0.000000 8.345372 -4.970828 0.000000 -7.774394 -5.679720 0.000000 275372.787352 -4991728.254800 0.000000 275380.847235 -4991727.900354 0.000000 275364.727469 -4991728.609246 0.000000 0.000521 0.000000 0.000000 -0.000074 0.000000 0.000000
5.666059 -1.526679 0.000000 0.000000 0.000496 0.000000 0.000000 -0.000072 0.000000 0.000000 8.065855 8.065855 0.300160 -5.658248 0.000000 8.358166 -5.302517 0.000000 -7.757846 -6.013980 0.000000 275372.802023 -4991728.587774 0.000000 275380.860029 -4991728.232042 0.000000 275364.744017 -4991728.943506 0.000000 0.000496 0.000000 0.000000 -0.000072 0.000000 0.000000
5.999357 -1.526517 0.000000 0.000000 0.000473 0.000000 0.000000 -0.000070 0.000000 0.000000 8.063987 8.063987 0.314887 -5.991220 0.000000 8.370969 -5.634270 0.000000 -7.741196 -6.348171 0.000000 275372.816750 -4991728.920746 0.000000 275380.872832 -4991728.563796 0.000000 275364.760667 -4991729.277697 0.000000 0.000473 0.000000 0.000000 -0.000070 0.000000 0.000000
6.332655 -1.526363 0.000000 0.000000 0.000450 0.000000 0.000000 -0.000068 0.000000 0.000000 8.062074 8.062074 0.329666 -6.324190 0.000000 8.383783 -5.966087 0.000000 -7.724451 -6.682293 0.000000 275372.831530 -4991729.253715 0.000000 275380.885645 -4991728.895612 0.000000 275364.777412 -4991729.611820 0.000000 0.000450 0.000000 0.000000 -0.000068 0.000000 0.000000
6.665952 -1.526217 0.000000 0.000000 0.000427 0.000000 0.000000 -0.000066 0.000000 0.000000 8.060121 8.060121 0.344494 -6.657158 0.000000 8.396608 -6.297965 0.000000 -7.707619 -7.016351 0.000000 275372.846358 -4991729.586683 0.000000 275380.898471 -4991729.227490 0.000000 275364.794244 -4991729.945877 0.000000 0.000427 0.000000 0.000000 -0.000066 0.000000 0.000000
6.999250 -1.526078 0.000000 0.000000 0.000406 0.000000 0.000000 -0.000063 0.000000 0.000000 8.058131 8.058131 0.359371 -6.990123 0.000000 8.409446 -6.629901 0.000000 -7.690705 -7.350345 0.000000 275372.861234 -4991729.919649 0.000000 275380.911310 -4991729.559427 0.000000 275364.811158 -4991730.279871 0.000000 0.000406 0.000000 0.000000 -0.000063 0.000000 0.000000
7.332547 -1.525947 0.000000 0.000000 0.000385 0.000000 0.000000 -0.000061 0.000000 0.000000 8.056108 8.056108 0.374292 -7.323087 0.000000 8.422299 -6.961894 0.000000 -7.673715 -7.684279 0.000000 275372.876155 -4991730.252613 0.000000 275380.924163 -4991729.891420 0.000000 275364.828148 -4991730.613804 0.000000 0.000385 0.000000 0.000000 -0.000061 0.000000 0.000000
7.665845 -1.525822 0.000000 0.000000 0.000365 0.000000 0.000000 -0.000058 0.000000 0.000000 8.054056 8.054056 0.389256 -7.656048 0.000000 8.435168 -7.293942 0.000000 -7.656656 -8.018155 0.000000 275372.891119 -4991730.585574 0.000000 275380.937032 -4991730.223468 0.000000 275364.845207 -4991730.947680 0.000000 0.000365 0.000000 0.000000 -0.000058 0.000000 0.000000
7.999143 -1.525703 0.000000 0.000000 0.000346 0.000000 0.000000 -0.000056 0.000000 0.000000 8.051978 8.051978 0.404261 -7.989008 0.000000 8.448054 -7.626041 0.000000 -7.639532 -8.351975 0.000000 275372.906124 -4991730.918534 0.000000 275380.949918 -4991730.555567 0.000000 275364.862331 -4991731.281500 0.000000 0.000346 0.000000 0.000000 -0.000056 0.000000 0.000000
8.332440 -1.525591 0.000000 0.000000 0.000328 0.000000 0.000000 -0.000054 0.000000 0.000000 8.049878 8.049878 0.419304 -8.321966 0.000000 8.460958 -7.958190 0.000000 -7.622350 -8.685742 0.000000 275372.921167 -4991731.251492 0.000000 275380.962821 -4991730.887716 0.000000 275364.879513 -4991731.615267 0.000000 0.000328 0.000000 0.000000 -0.000054 0.000000 0.000000
8.665738 -1.525484 0.000000 0.000000 0.000310 0.000000 0.000000 -0.000051 0.000000 0.000000 8.047757 8.047757 0.434383 -8.654922 0.000000 8.473880 -8.290387 0.000000 -7.605113 -9.019458 0.000000 275372.936247 -4991731.584448 0.000000 275380.975743 -4991731.219912 0.000000 275364.896750 -4991731.948983 0.000000 0.000310 0.000000 0.000000 -0.000051 0.000000 0.000000
8.999036 -1.525384 0.000000 0.000000 0.000294 0.000000 0.000000 -0.000049 0.000000 0.000000 8.045619 8.045619 0.449497 -8.987877 0.000000 8.486822 -8.622630 0.000000 -7.587827 -9.353125 0.000000 275372.951361 -4991731.917402 0.000000 275380.988685 -4991731.552155 0.000000 275364.914036 -4991732.282651 0.000000 0.000294 0.000000 0.000000 -0.000049 0.000000 0.000000
9.332333 -1.525288 0.000000 0.000000 0.000278 0.000000 0.000000 -0.000047 0.000000 0.000000 8.043468 8.043468 0.464644 -9.320830 0.000000 8.499784 -8.954915 0.000000 -7.570496 -9.686746 0.000000 275372.966508 -4991732.250355 0.000000 275381.001647 -4991731.884441 0.000000 275364.931367 -4991732.616272 0.000000 0.000278 0.000000 0.000000 -0.000047 0.000000 0.000000
9.665631 -1.525198 0.000000 0.000000 0.000263 0.000000 0.000000 -0.000045 0.000000 0.000000 8.041304 8.041304 0.479821 -9.653782 0.000000 8.512767 -9.287242 0.000000 -7.553125 -10.020322 0.000000 275372.981685 -4991732.583307 0.000000 275381.014630 -4991732.216768 0.000000 275364.948738 -4991732.949849 0.000000 0.000263 0.000000 0.000000 -0.000045 0.000000 0.000000
9.998929 -1.525113 0.000000 0.000000 0.000248 0.000000 0.000000 -0.000042 0.000000 0.000000 8.039131 8.039131 0.495028 -9.986733 0.000000 8.525772 -9.619609 0.000000 -7.535716 -10.353857 0.000000 275372.996891 -4991732.916258 0.000000 275381.027635 -4991732.549135 0.000000 275364.966147 -4991733.283383 0.000000 0.000248 0.000000 0.000000 -0.000042 0.000000 0.000000
10.332226 -1.525033 0.000000 0.000000 0.000234 0.000000 0.000000 -0.000040 0.000000 0.000000 8.036952 8.036952 0.510262 -10.319682 0.000000 8.538799 -9.952012 0.000000 -7.518275 -10.687353 0.000000 275373.012125 -4991733.249207 0.000000 275381.040662 -4991732.881538 0.000000 275364.983588 -4991733.616878 0.000000 0.000234 0.000000 0.000000 -0.000040 0.000000 0.000000
10.665524 -1.524957 0.000000 0.000000 0.000221 0.000000 0.000000 -0.000038 0.000000 0.000000 8.034767 8.034767 0.525522 -10.652630 0.000000 8.551849 -10.284451 0.000000 -7.500805 -11.020810 0.000000 275373.027385 -4991733.582155 0.000000 275381.053712 -4991733.213977 0.000000 275365.001058 -4991733.950335 0.000000 0.000221 0.000000 0.000000 -0.000038 0.000000 0.000000
10.998822 -1.524885 0.000000 0.000000 0.000209 0.000000 0.000000 -0.000037 0.000000 0.000000 8.032580 8.032580 0.540807 -10.985578 0.000000 8.564923 -10.616924 0.000000 -7.483309 -11.354231 0.000000 275373.042670 -4991733.915102 0.000000 275381.066786 -4991733.546450 0.000000 275365.018554 -4991734.283756 0.000000 0.000209 0.000000 0.000000 -0.000037 0.000000 0.000000
11.332119 -1.524818 0.000000 0.000000 0.000197 0.000000 0.000000 -0.000035 0.000000 0.000000 8.030392 8.030392 0.556115 -11.318523 0.000000 8.578020 -10.949428 0.000000 -7.465790 -11.687619 0.000000 275373.057978 -4991734.248048 0.000000 275381.079883 -4991733.878954 0.000000 275365.036073 -4991734.617143 0.000000 0.000197 0.000000 0.000000 -0.000035 0.000000 0.000000
11.665417 -1.524754 0.000000 0.000000 0.000185 0.000000 0.000000 -0.000033 0.000000 0.000000 8.028205 8.028205 0.571445 -11.651468 0.000000 8.591141 -11.281963 0.000000 -7.448252 -12.020974 0.000000 275373.073308 -4991734.580993 0.000000 275381.093004 -4991734.211489 0.000000 275365.053611 -4991734.950498 0.000000 0.000185 0.000000 0.000000 -0.000033 0.000000 0.000000
11.998715 -1.524694 0.000000 0.000000 0.000175 0.000000 0.000000 -0.000032 0.000000 0.000000 8.026021 8.026021 0.586795 -11.984412 0.000000 8.604288 -11.614527 0.000000 -7.430698 -12.354298 0.000000 275373.088659 -4991734.913937 0.000000 275381.106151 -4991734.544052 0.000000 275365.071165 -4991735.283823 0.000000 0.000175 0.000000 0.000000 -0.000032 0.000000 0.000000
12.332012 -1.524638 0.000000 0.000000 0.000164 0.000000 0.000000 -0.000030 0.000000 0.000000 8.023841 8.023841 0.602165 -12.317356 0.000000 8.617460 -11.947118 0.000000 -7.413130 -12.687593 0.000000 275373.104029 -4991735.246881 0.000000 275381.119323 -4991734.876643 0.000000 275365.088733 -4991735.617118 0.000000 0.000164 0.000000 0.000000 -0.000030 0.000000 0.000000
12.665310 -1.524585 0.000000 0.000000 0.000154 0.000000 0.000000 -0.000029 0.000000 0.000000 8.021668 8.021668 0.617552 -12.650298 0.000000 8.630657 -12.279736 0.000000 -7.395552 -13.020860 0.000000 275373.119416 -4991735.579823 0.000000 275381.132520 -4991735.209261 0.000000 275365.106312 -4991735.950386 0.000000 0.000154 0.000000 0.000000 -0.000029 0.000000 0.000000
12.998608 -1.524535 0.000000 0.000000 0.000145 0.000000 0.000000 -0.000028 0.000000 0.000000 8.019502 8.019502 0.632958 -12.983239 0.000000 8.643880 -12.612378 0.000000 -7.377965 -13.354101 0.000000 275373.134821 -4991735.912765 0.000000 275381.145743 -4991735.541903 0.000000 275365.123899 -4991736.283627 0.000000 0.000145 0.000000 0.000000 -0.000028 0.000000 0.000000
13.331906 -1.524488 0.000000 0.000000 0.000136 0.000000 0.000000 -0.000027 0.000000 0.000000 8.017346 8.017346 0.648379 -13.316180 0.000000 8.657130 -12.945045 0.000000 -7.360373 -13.687316 0.000000 275373.150241 -4991736.245706 0.000000 275381.158993 -4991735.874570 0.000000 275365.141491 -4991736.616842 0.000000 0.000136 0.000000 0.000000 -0.000027 0.000000 0.000000
13.665203 -1.524444 0.000000 0.000000 0.000127 0.000000 0.000000 -0.000026 0.000000 0.000000 8.015200 8.015200 0.663815 -13.649120 0.000000 8.670406 -13.277734 0.000000 -7.342777 -14.020507 0.000000 275373.165677 -4991736.578646 0.000000 275381.172269 -4991736.207260 0.000000 275365.159087 -4991736.950032 0.000000 0.000127 0.000000 0.000000 -0.000026 0.000000 0.000000
13.998501 -1.524404 0.000000 0.000000 0.000118 0.000000 0.000000 -0.000025 0.000000 0.000000 8.013066 8.013066 0.679265 -13.982060 0.000000 8.683709 -13.610445 0.000000 -7.325179 -14.353674 0.000000 275373.181128 -4991736.911585 0.000000 275381.185573 -4991736.539972 0.000000 275365.176684 -4991737.283199 0.000000 0.000118 0.000000 0.000000 -0.000025 0.000000 0.000000
14.331799 -1.524366 0.000000 0.000000 0.000110 0.000000 0.000000 -0.000024 0.000000 0.000000 8.010945 8.010945 0.694728 -14.314999 0.000000 8.697040 -13.943178 0.000000 -7.307583 -14.686819 0.000000 275373.196591 -4991737.244524 0.000000 275381.198903 -4991736.872704 0.000000 275365.194280 -4991737.616344 0.000000 0.000110 0.000000 0.000000 -0.000024 0.000000 0.000000
14.665097 -1.524330 0.000000 0.000000 0.000102 0.000000 0.000000 -0.000023 0.000000 0.000000 8.008838 8.008838 0.710204 -14.647937 0.000000 8.710398 -14.275930 0.000000 -7.289990 -15.019943 0.000000 275373.212067 -4991737.577462 0.000000 275381.212261 -4991737.205456 0.000000 275365.211873 -4991737.949468 0.000000 0.000102 0.000000 0.000000 -0.000023 0.000000 0.000000
14.998394 -1.524297 0.000000 0.000000 0.000095 0.000000 0.000000 -0.000022 0.000000 0.000000 8.006746 8.006746 0.725691 -14.980875 0.000000 8.723783 -14.608702 0.000000 -7.272401 -15.353047 0.000000 275373.227555 -4991737.910400 0.000000 275381.225646 -4991737.538228 0.000000 275365.229462 -4991738.282571 0.000000 0.000095 0.000000 0.000000 -0.000022 0.000000 0.000000
15.331692 -1.524267 0.000000 0.000000 0.000088 0.000000 0.000000 -0.000021 0.000000 0.000000 8.004671 8.004671 0.741188 -15.313812 0.000000 8.737196 -14.941493 0.000000 -7.254819 -15.686131 0.000000 275373.243052 -4991738.243338 0.000000 275381.239059 -4991737.871018 0.000000 275365.247044 -4991738.615656 0.000000 0.000088 0.000000 0.000000 -0.000021 0.000000 0.000000
